Linux 4.1.5 (host9) 	Monday 28 November 2016 	_x86_64_	(16 CPU)

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356605   106      1894    5.80    3.40    8.80   18.00     8    107.00      0.00 14145076 1343460   4.09   5700.80     19.20      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356610   106      1894    6.60    3.20   52.40   62.20     8    200.40      0.00 14146100 1506372   4.59   6982.40   7219.20      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356615   106      1894    4.20    2.80    4.60   11.60     8      9.40      0.00 14146100 1557572   4.74  11178.40   1919.20      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356620   106      1894    4.60    3.20    4.20   12.00     8     76.40      0.00 14147124 1605996   4.89   7517.60  16034.40      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356625   106      1894    4.80    2.40    4.00   11.20     8     73.80      0.00 14147124 1656468   5.04   8827.20   6768.80      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356630   106      1894    5.80    2.80    4.80   13.40     8     39.80      0.00 14147124 1743012   5.31  14480.00    191.20      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356635   106      1894    4.60    2.40    6.40   13.40     8     43.20      0.00 14147124 1831868   5.58  14747.20    216.80      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356640   106      1894    4.80    3.00    4.80   12.60     8     55.60      0.00 14147124 1910484   5.82  13540.00    179.20      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356645   106      1894    5.40    3.20    3.20   11.80     8    100.60      0.00 14147124 1973772   6.01  10596.00   3002.40      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356650   106      1894    4.60    3.20    3.60   11.40     8     60.60      0.00 14147124 2042412   6.22  12037.60   2497.60      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356655   106      1894    5.20    2.60    4.00   11.80     8     84.00      0.00 14147124 2113628   6.44  11985.60   1205.60      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356660   106      1894    5.00    2.60    4.20   11.80     8     56.40      0.00 14148148 2182268   6.65  12432.00   2423.20      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356665   106      1894    2.60    3.60    6.60   12.80     8    105.60      0.00 14145076 2255476   6.87  12043.20   2928.80      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356670   106      1894    5.00    2.20    5.80   13.00     8     68.00      0.00 14145076 2330260   7.10  12353.60   2489.60      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356675   106      1894    4.80    3.00    4.40   12.20     8     84.40      0.00 14145076 2399428   7.31  11981.60   2024.00      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356680   106      1894    4.60    3.20    2.60   10.40     6    109.60      0.00 14148148 2467076   7.51  11133.60    989.60      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356685   106      1894    3.80    3.80    4.20   11.80     6     73.40      0.00 14148148 2476324   7.54   4584.00  13633.60      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356690   106      1894    5.00    3.60    4.20   12.80     6     79.60      0.00 14148148 2497332   7.61  13044.80    360.80      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356695   106      1894    3.60    3.60    5.60   12.80     6     30.00      0.00 14148148 2526532   7.69  13596.80    149.60      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356700   106      1894    5.20    3.60    4.60   13.40     3      2.40      0.00 14148148 2551108   7.77  14248.00    123.20      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356705   106      1894    4.80    3.00    5.00   12.80     4     37.20      0.00 14148148 2580572   7.86  13604.00    148.00      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356710   106      1894    4.80    2.80    5.20   12.80     4     37.40      0.00 14148148 2617964   7.97  14808.00    124.00      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356715   106      1894    4.00    3.00    5.20   12.20     4     34.40      0.00 14148148 2661764   8.11  13768.80    327.20      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356720   106      1894    3.20    3.40    5.20   11.80     6     44.00      0.00 14148148 2689180   8.19  11718.40   3448.00      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480356725   106      1894    4.80    2.80    4.60   12.20     6    370.20      0.00 14148148 2728620   8.31  12816.80   1732.00      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
