Linux 4.1.5 (host9) 	Saturday 26 November 2016 	_x86_64_	(16 CPU)

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145468   106     64334    3.40    4.40    8.00   15.80     9    166.20      0.00 14134820 1355224   4.13   5305.60      3.20      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145473   106     64334    5.00    7.80   28.00   40.80    13    168.80      0.00 14145988 1949248   5.94   4896.00  11793.60      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145478   106     64334    6.40    4.60   32.20   43.20    13    260.60      0.00 14147012 2099672   6.39   2550.40  13588.00      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145483   106     64334    4.80    3.20   23.00   31.00     7    155.00      0.00 14148036 2292840   6.98    918.40  11461.60      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145488   106     64334    5.80    2.40    2.60   10.80     7    103.40      0.00 14149060 2335912   7.11   1939.20   7202.40      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145493   106     64334    4.80    2.80    2.20    9.80     7    110.40      0.00 14149060 2368744   7.21   1590.40  15472.00      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145498   106     64334    5.20    2.20    2.20    9.60     6     86.20      0.00 14149060 2401100   7.31   2047.20   7625.60      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145503   106     64334    6.00    2.60    2.00   10.60     7     61.80      0.00 14149060 2433140   7.41   2247.20   5130.40      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145508   106     64334    2.80    2.00    1.80    6.60     7     43.20      0.00 14149060 2450316   7.46   1170.40  49115.20      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145513   106     64334    5.80    3.00    9.60   18.40     5     60.40      0.00 14149060 2571940   7.83   4122.40   9112.00      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145518   106     64334    5.40    2.20   61.20   68.80     6     38.00      0.00 14149060 2572732   7.84   3320.00   9861.60      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145523   106     64334    6.00    1.60   65.60   73.20     7      1.60      0.00 14149060 2574780   7.84   4772.80  17626.40      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145528   106     64334    5.40    2.40    6.00   13.80     6      7.60      0.00 14149060 2595524   7.90   3514.40   3404.00      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145533   106     64334    4.60    2.40    9.40   16.40     6      2.20      0.00 14149060 2613956   7.96   3868.00   5291.20      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145538   106     64334    5.40    3.20    3.40   12.00     5      3.60      0.00 14149060 2638532   8.04   4421.60   6704.00      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145543   106     64334    5.40    4.00    7.40   16.80     0      4.80      0.00 14149060 2679492   8.16   5363.20   5118.40      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145548   106     64334    6.20    2.80    9.40   18.40     7     42.60      0.00 14149060 2711004   8.26   4044.00   4124.00      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145553   106     64334    6.00    2.80    2.80   11.60    14      3.20      0.00 14149060 2741724   8.35   3573.60   2411.20      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145558   106     64334    5.60    3.60    5.80   15.00    14      3.00      0.00 14149060 2768348   8.43   4802.40   5098.40      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145563   106     64334    6.20    2.80   21.40   30.40    14     30.00      0.00 14149060 2787308   8.49   5084.00   7160.00      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145568   106     64334    5.80    3.20   13.60   22.60    14     36.00      0.00 14149060 2808580   8.55   4776.00   5787.20      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145573   106     64334    4.60    2.40    5.40   12.40     2      5.00      0.00 14149060 2831108   8.62   3534.40   8276.80      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145578   106     64334    4.20    3.60    6.00   13.80     8      6.80      0.00 14149060 2884356   8.78   6289.60   4046.40      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145584   106     64334    6.00    1.60   20.60   28.20    15     25.60      0.00 14149060 2917652   8.89   5672.00   4547.20      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
 1480145588   106     64334    6.40    3.00   12.40   21.80     5      6.80      0.00 14149060 2950420   8.99   3320.80   4228.80      0.00  qemu-system-x86

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s  Command
